Ruta,Archivo,Etiqueta
DB2_B\101_3.tif,101_3.tif,0
DB2_B\101_4.tif,101_4.tif,0
DB2_B\101_5.tif,101_5.tif,0
DB2_B\101_6.tif,101_6.tif,0
DB2_B\101_7.tif,101_7.tif,0
DB2_B\101_8.tif,101_8.tif,0
DB2_B\102_3.tif,102_3.tif,1
DB2_B\102_4.tif,102_4.tif,1
DB2_B\102_5.tif,102_5.tif,1
DB2_B\102_6.tif,102_6.tif,1
DB2_B\102_7.tif,102_7.tif,1
DB2_B\102_8.tif,102_8.tif,1
DB2_B\103_3.tif,103_3.tif,2
DB2_B\103_4.tif,103_4.tif,2
DB2_B\103_5.tif,103_5.tif,2
DB2_B\103_6.tif,103_6.tif,2
DB2_B\103_7.tif,103_7.tif,2
DB2_B\103_8.tif,103_8.tif,2
DB2_B\104_3.tif,104_3.tif,3
DB2_B\104_4.tif,104_4.tif,3
DB2_B\104_5.tif,104_5.tif,3
DB2_B\104_6.tif,104_6.tif,3
DB2_B\104_7.tif,104_7.tif,3
DB2_B\104_8.tif,104_8.tif,3
DB2_B\105_3.tif,105_3.tif,4
DB2_B\105_4.tif,105_4.tif,4
DB2_B\105_5.tif,105_5.tif,4
DB2_B\105_6.tif,105_6.tif,4
DB2_B\105_7.tif,105_7.tif,4
DB2_B\105_8.tif,105_8.tif,4
DB2_B\106_3.tif,106_3.tif,5
DB2_B\106_4.tif,106_4.tif,5
DB2_B\106_5.tif,106_5.tif,5
DB2_B\106_6.tif,106_6.tif,5
DB2_B\106_7.tif,106_7.tif,5
DB2_B\106_8.tif,106_8.tif,5
DB2_B\107_3.tif,107_3.tif,6
DB2_B\107_4.tif,107_4.tif,6
DB2_B\107_5.tif,107_5.tif,6
DB2_B\107_6.tif,107_6.tif,6
DB2_B\107_7.tif,107_7.tif,6
DB2_B\107_8.tif,107_8.tif,6
DB2_B\108_3.tif,108_3.tif,7
DB2_B\108_4.tif,108_4.tif,7
DB2_B\108_5.tif,108_5.tif,7
DB2_B\108_6.tif,108_6.tif,7
DB2_B\108_7.tif,108_7.tif,7
DB2_B\108_8.tif,108_8.tif,7
DB2_B\109_3.tif,109_3.tif,8
DB2_B\109_4.tif,109_4.tif,8
DB2_B\109_5.tif,109_5.tif,8
DB2_B\109_6.tif,109_6.tif,8
DB2_B\109_7.tif,109_7.tif,8
DB2_B\109_8.tif,109_8.tif,8
DB2_B\110_3.tif,110_3.tif,9
DB2_B\110_4.tif,110_4.tif,9
DB2_B\110_5.tif,110_5.tif,9
DB2_B\110_6.tif,110_6.tif,9
DB2_B\110_7.tif,110_7.tif,9
DB2_B\110_8.tif,110_8.tif,9
